outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.07501911347700174,1.0547448138150895e-06,6,2,True,7949,0,0,1.0,`ftol` termination condition is satisfied.
2,0.06441995558064706,9.977575416170345e-07,6,2,True,7949,0,0,1.0,`ftol` termination condition is satisfied.
