frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
275,1,0,4.203595817172996,1.0,2.364791309340617
276,1,0,9.864312540567129,1.0,2.88288566220191
277,1,0,3.2658321681579374,1.0,2.8429002726143118
278,1,0,4.234009913779393,1.0,2.4521616630866303
279,1,0,2.1842683720065343,1.0,2.181001655625517
280,1,0,2.014248926467791,1.0,2.0485486925288163
281,1,0,2.7756909518775057,1.0,2.8314437398359087
282,1,0,2.4503732795489492,1.0,2.550311153867529
283,1,0,2.691135920966312,1.0,2.7763030076475546
284,1,0,2.3906023027493934,1.0,2.493295683417439
285,1,0,38.347350997254715,0.0,0.0
286,1,0,2.115032383141847,1.0,2.253569823038343
287,1,0,2.433349701210257,1.0,2.572175408714076
288,1,0,2.4036168919084053,1.0,2.499138343930051
289,1,0,2.469930897005881,1.0,2.5661124387417518
290,1,0,2.37320062860781,1.0,2.4448514635416103
291,1,0,2.421448002623958,1.0,2.468471160561859
292,1,0,2.642377078648023,1.0,2.718358478188888
293,1,0,2.4370021966782214,1.0,2.5293726147557183
294,1,0,1.9948019915707442,1.0,2.0861997793718308
295,1,0,2.3883367753809455,1.0,2.4540576430868715
