outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.052599973305138104,3.41363622262207e-07,6,2,True,8376,0,0,1.0,`ftol` termination condition is satisfied.
2,0.04684888835016743,5.235985388537338e-07,6,2,True,8376,0,0,1.0,`ftol` termination condition is satisfied.
