outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.08374961177010687,4.240137044142461e-07,4,2,True,8387,0,0,1.0,`ftol` termination condition is satisfied.
2,0.08310614704137076,3.3967922331168814e-07,4,2,True,8390,0,0,1.0,`ftol` termination condition is satisfied.
