frame,rotation_correction_deg,translation_correction_cm
74,4.565384895118938,3.477718090185453
75,5.405567068849577,1.8646481051194517
76,2.961863449957048,4.637516752132234
77,1.54978556614552,5.002747151417917
78,3.2973880739879413,1.7382237943638537
79,1.6925499518323635,1.5369905725483852
80,5.002157457409938,10.2212364324569
81,2.398142073008936,0.2874264744487376
82,1.5758614309864603,1.4314614178587246
83,0.7837491215469639,1.1646090666883182
84,3.403856110804972,5.668087830728388
85,1.8944761640359988,2.1509346183454516
86,2.2155065856362106,2.6061248580551455
87,1.588907419264064,7.321966458987454
88,2.1439232726562065,3.4470493860919174
89,1.489427067748873,7.377998669680926
90,1.4918931563135467,1.7300470694667422
91,2.3445688637921656,1.31841404138635
92,2.6678511318588414,3.0316033163128204
93,2.73588162623568,2.3553106077632138
94,1.9410123241083206,1.311868504210428
