outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.19600546239510486,1.3706608488469367e-06,5,2,True,8152,0,4947,1.0,`ftol` termination condition is satisfied.
2,0.15185999626701463,6.530074197931696e-07,5,2,True,8164,0,4951,1.0,`ftol` termination condition is satisfied.
