frame,candidate,selection_chamfer_cm,normalized_data_cost,icp_fitness,icp_inlier_rmse_cm,selected_independently,selected_by_temporal_path
275,0,4.191093001305588,0.10975241382440903,1.0,2.3191353328209274,True,True
276,0,9.877406404391788,0.2586602575674107,1.0,2.886518351649715,True,True
277,0,3.2534461733268203,0.08519819785892879,1.0,2.814535838536716,True,True
278,0,4.237402285969052,0.11096511795020954,1.0,2.4236185193265203,True,True
279,0,2.1793394269122466,0.057070497498340596,1.0,2.168638269858879,True,True
280,0,2.0096563020354425,0.05262699492402489,1.0,2.033405423549594,True,True
281,0,2.75528197993984,0.07215274105611415,1.0,2.793853309556464,True,True
282,0,2.434779727974588,0.06375972859411735,1.0,2.541984153240255,True,True
283,0,2.6845232463318,0.07029977768588554,1.0,2.773836142235573,True,True
284,0,2.3879830415481678,0.062534260847951,1.0,2.495903278195773,True,True
285,0,38.3803339038092,1.0050681977273372,0.0,inf,True,True
286,0,2.104598028278458,0.05511323983068317,1.0,2.244375917901334,True,True
287,0,2.4130519036811884,0.06319074070417781,1.0,2.5481738251139836,True,True
288,0,2.390373196080578,0.06259685197376559,1.0,2.4851989828683085,True,True
289,0,2.4614741700239513,0.06445877761300116,1.0,2.5612934616227263,True,True
290,0,2.364610321199044,0.06192219796240775,1.0,2.4418386530585408,True,True
291,0,2.4151919361364764,0.06324678186755865,1.0,2.458151536643683,True,True
292,0,2.625124857511405,0.06874430837315774,1.0,2.6906376330499113,True,True
293,0,2.425080364286545,0.06350573075226752,1.0,2.5145591561409883,True,True
294,0,1.9839831093064766,0.05195468942478985,1.0,2.0715171305464652,True,True
295,0,2.3779339517956606,0.06227110470783856,1.0,2.447160078518481,True,True
