outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.3445015058783165,3.419586386094252e-06,7,2,True,8101,0,4960,1.0,`ftol` termination condition is satisfied.
2,0.19246237403194022,3.0019751107634066e-06,6,2,True,7917,0,4946,1.0,`ftol` termination condition is satisfied.
