frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.699509752,2.37744968,2.47792966,2.27696969,nan,nan,nan,0,0
10,0.679772873,2.16605988,2.24870595,2.0834138,7.80356573,1.84936305,nan,0,0
11,0.674808095,2.27010193,2.3506831,2.18952077,2.03665374,2.67795816,nan,0,0
12,0.603337553,8.97980346,9.61675546,8.34285146,179.99392,38.6151803,0.0533453079,1,0
13,0.672056986,2.26059359,2.40526369,2.1159235,177.561505,37.5767528,0.0533213116,1,0
14,0.682376309,2.45930097,2.60449372,2.31410821,10.7097784,1.67082741,nan,0,0
15,0.656428461,2.29247697,2.39877112,2.18618281,25.1405669,10.4836137,nan,0,0
16,0.590355851,8.94672684,9.66306025,8.23039342,179.352236,38.0894142,0.0533774609,1,0
17,0.655249987,2.17725558,2.37346407,1.9810471,179.984274,38.0847234,0.0533490277,1,0
18,0.730040683,2.29250591,2.38905598,2.19595584,14.1142992,4.79647823,nan,0,0
19,0.704092473,2.34458318,2.45680169,2.23236467,5.59114216,2.12241347,nan,0,0
20,0.710770871,2.11750348,2.20503581,2.02997115,4.080585,1.30513114,nan,0,0
21,0.572565844,9.01917999,9.7970205,8.24133948,179.560174,38.8901056,0.0533010741,1,0
22,0.727559431,2.97222188,3.07359832,2.87084543,179.196393,37.6277106,0.0533129439,1,0
23,0.596116935,9.13676002,10.0364775,8.23704251,177.91617,36.7520429,0.0535403971,1,0
24,0.676151061,2.75451522,2.91249252,2.59653792,178.3243,37.1881597,0.0535504967,1,0
25,0.667344191,2.45979405,2.53977682,2.37981128,29.9900036,2.80133596,nan,0,0
26,0.651273928,2.68849338,2.82306623,2.55392053,12.8525415,1.09074509,nan,0,0
27,0.637149414,3.2923089,3.42539375,3.15922404,33.0564539,0.659236347,nan,0,0
28,0.597032907,9.27889702,10.3911421,8.16665191,177.33202,39.3183892,0.0533666995,1,0
29,0.625312976,9.43916658,10.5844371,8.2938961,13.0974806,2.18745538,nan,0,0
