frame,selected_candidate,selection_chamfer_cm,normalized_data_cost,rotation_change_deg,translation_change_cm,transition_cost,cumulative_objective
108,21,3.5950810934201147,0.02669919578502379,0.0,0.0,0.0,0.02669919578502379
109,14,4.077497162036544,0.03028190246983413,7.378880527661936,5.47377448981807,0.0036011971369995124,0.06058229539185743
110,21,3.5047311910314765,0.026028204040930147,10.05653710305675,1.984495136540182,0.0015175325225302418,0.08812803195531782
111,21,3.722167048330041,0.027643011154829224,11.84164456434861,6.258196072437679,0.005474552319089293,0.12124559542923634
112,21,3.7732571062825486,0.02802243610366801,13.425557867853055,2.7514948282300917,0.0027598013130118166,0.15202783284591617
113,21,3.9957228734923094,0.029674598299694675,8.525697025751597,8.478518044173354,0.007996165820036311,0.18969859696564717
114,21,3.8561364338561313,0.028637946946377005,6.714040926750092,16.641082676778638,0.028193433771827925,0.2465299776838521
115,21,4.2765525404982085,0.0317602052906904,4.952845740492529,0.27074336020766215,0.0002798933181442646,0.27857007629268676
116,21,3.7687575413881147,0.0279890196769054,1.289461844904805,8.251893376870596,0.006827849006429251,0.31338694497602143
117,21,3.864015711445167,0.02869646311597865,5.2270859943059165,15.235648859537903,0.02351608215035685,0.36559949024235694
118,21,3.9734686125813496,0.029509325012758204,2.120351625377844,4.509219412286486,0.0020832603154279333,0.3971920755705431
119,21,4.099092014103868,0.030442278597190304,4.609150089525756,11.551542728687288,0.013579861325132983,0.4412142154928664
120,21,3.876664841362033,0.02879040302647989,1.8255994182819044,10.092170211252851,0.010222221215468062,0.48022683973481434
121,21,3.484904408521157,0.02588095864248866,2.194613848722856,5.579859028070904,0.003166997454481172,0.5092747958317841
122,21,3.5876068975814066,0.026643687991778593,0.80399223664863,2.955524657135911,0.0008806948611892927,0.536799178684752
123,21,3.649795663341794,0.027105538500715513,1.5247171390055843,8.482223333434408,0.007220641960647882,0.5711253591461154
124,21,3.448834626916122,0.025613083138161796,2.460745262332688,13.49749488025635,0.01828551755143344,0.6150239598357107
125,21,3.4644468442799963,0.025729028686316283,4.723523587271884,6.717425133632597,0.004760287543479377,0.6455132760655063
126,21,3.539860250622323,0.026289093187902773,1.376662412487086,9.522479568624954,0.009088819484576354,0.6808911887379855
127,21,3.437488041242581,0.02552881669061382,3.37684028244451,1.2420078558657293,0.0002809589102158844,0.7067009643388152
128,21,3.421694175309665,0.02541152211288729,1.981519250408529,13.803890783984421,0.019098366950280776,0.7512108534019833
