outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.07593163852721219,9.304983983171064e-07,5,2,True,8381,0,0,1.0,`ftol` termination condition is satisfied.
2,0.05987490606284762,7.713387304726778e-07,5,2,True,8380,0,0,1.0,`ftol` termination condition is satisfied.
