frame,rotation_correction_deg,translation_correction_cm
320,0.0,0.5084419251907208
321,0.0,0.9327417127803576
322,0.0,0.5531069056190668
323,0.0,0.8341174552440807
324,0.0,1.04913503301707
325,0.0,1.8739424623130372
326,0.0,1.761223062711089
327,0.0,0.38262464444418437
328,0.0,1.629575868645133
329,0.0,1.4693588333034056
330,0.0,1.3557112357720418
331,0.0,1.200493499679394
332,0.0,1.116904886003828
333,0.0,2.139950804739119
334,0.0,2.7630775403619436
335,0.0,2.2805365100822383
336,0.0,1.3563503407553268
337,0.0,0.2355112220207722
338,0.0,1.0479318108814497
339,0.0,1.8343011250216454
340,0.0,0.7452603565408971
