frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
9,24,0,1.725887231723023,0.9902,1.2226560432668172
10,24,1,1.7336898236334675,0.9902,1.285080617799854
11,24,17,1.6989021216082831,0.9904,1.3051244411119165
12,24,20,1.700144944605956,0.9902,1.2471807616694053
13,24,17,1.7558941702229456,0.9906,1.2748174871061226
14,24,1,1.8333766253506893,0.9906,1.2894089702787863
15,24,1,1.561558034694794,0.9906,1.0362377279018917
16,24,20,1.664936155482165,0.9906,1.2211423502286105
17,24,1,1.5912601689818493,0.9908,1.167976398125621
18,24,1,1.5085382176438982,0.9906,0.9941229288609975
19,24,1,1.5107030962765622,0.9906,0.981894617676284
20,24,1,1.4471789270500883,0.9908,0.9775140755483741
21,24,21,1.7822086786659288,0.9908,1.1771196124351837
22,24,1,1.6961752169790556,0.9902,1.0410108186774314
23,24,20,1.5806078674380768,0.9902,1.013369945189955
24,24,17,1.7821835630087657,0.9906,1.163167597446759
25,24,17,1.575440206237248,0.9906,1.0969432734730569
26,24,1,1.7351705105130362,0.9906,1.2198825641874247
27,24,1,1.8265578690303375,0.9908,1.0867662052995344
28,24,16,1.943963993727476,0.9902,1.1959972581671137
29,24,4,2.0887375152329324,0.99,1.345855999877928
