frame,candidate,selection_chamfer_cm,normalized_data_cost,icp_fitness,icp_inlier_rmse_cm,selected_independently,selected_by_temporal_path
320,0,1.9404849230424503,0.050815599708104134,1.0,1.932618234186248,True,True
321,0,2.0467798700935416,0.05359915211616591,1.0,1.9962716678140349,True,True
322,0,2.3893226123889244,0.06256934027310716,1.0,2.3584023524757582,True,True
323,0,2.615448439902269,0.0684909114217074,1.0,2.6001577236104705,True,True
324,0,2.4582044339910847,0.06437315283157445,1.0,2.166627533606218,True,True
325,0,2.9659340998021424,0.07766910125735862,1.0,2.8890153635536207,True,True
326,0,2.7103464097836802,0.07097601047779525,1.0,2.611478624454604,True,True
327,0,2.0609373872783174,0.05396989590169052,1.0,2.0436094094729773,True,True
328,0,3.480913318186192,0.09115489416852764,1.0,2.702729095692748,True,True
329,0,3.2713438952595237,0.0856668866194646,1.0,1.9302755507851175,True,True
330,0,2.894780580528882,0.07580579961029205,1.0,2.765635978527525,True,True
331,0,2.7708289317770474,0.07255987005354127,1.0,2.5882316180264726,True,True
332,0,2.0422720557128673,0.053481105699826004,1.0,2.010455907162606,True,True
333,0,2.0372891578916676,0.05335061824379802,1.0,2.018972859098251,True,True
334,0,1.5905862969117315,0.04165278256237915,1.0,1.589039985148392,True,True
335,0,1.9457535798608154,0.050953570352813726,1.0,1.9424962850054597,True,True
336,0,1.720901004857047,0.04506534194709475,1.0,1.7313206610541583,True,True
337,0,2.497203903894627,0.06539443438234242,1.0,2.352812241040059,True,True
338,0,2.329860807773185,0.0610122102869914,1.0,2.1038086744441302,True,True
339,0,2.6454921341040274,0.06927766751559943,1.0,2.4920144216637032,True,True
340,0,2.642893735396977,0.0692096230865953,1.0,2.4343215488578456,True,True
