frame,selected_candidate,selection_chamfer_cm,normalized_data_cost,rotation_change_deg,translation_change_cm,transition_cost,cumulative_objective
320,0,1.9404849230424503,0.050815599708104134,0.0,0.0,0.0,0.050815599708104134
321,0,2.0467798700935416,0.05359915211616591,0.0,4.347532878705478,0.001890104213142514,0.10630485603741255
322,0,2.3893226123889244,0.06256934027310716,0.0,2.6994575975661528,0.0007287071321057625,0.16960290344262546
323,0,2.615448439902269,0.0684909114217074,0.0,3.1329751239677606,0.0009815533127400806,0.23907536817707295
324,0,2.4582044339910847,0.06437315283157445,0.0,4.867279190320249,0.002369040671652454,0.30581756168029983
325,0,2.9659340998021424,0.07766910125735862,0.0,2.3858061678846885,0.0005692071070716623,0.38405587004473013
326,0,2.7103464097836802,0.07097601047779525,0.0,5.905838654863114,0.0034878930217275353,0.4585197735442529
327,0,2.0609373872783174,0.05396989590169052,0.0,3.3531053972026577,0.0011243315804749592,0.5136140010264184
328,0,3.480913318186192,0.09115489416852764,0.0,4.504316510314838,0.002028886722509484,0.6067977819174555
329,0,3.2713438952595237,0.0856668866194646,0.0,3.911892047511404,0.0015302899391382962,0.6939949584760584
330,0,2.894780580528882,0.07580579961029205,0.0,1.7661309747355545,0.00031192186199203596,0.7701126799483425
331,0,2.7708289317770474,0.07255987005354127,0.0,5.535244205162952,0.0030638928410790037,0.8457364428429628
332,0,2.0422720557128673,0.053481105699826004,0.0,1.7409952823335204,0.00030310645731075744,0.8995206550000996
333,0,2.0372891578916676,0.05335061824379802,0.0,3.4779021642668253,0.0012095803464211867,0.9540808535903188
334,0,1.5905862969117315,0.04165278256237915,0.0,5.1757056934868855,0.0026787929425592556,0.9984124290952572
335,0,1.9457535798608154,0.050953570352813726,0.0,4.8048124313091085,0.0023086222500062546,1.0516746216980772
336,0,1.720901004857047,0.04506534194709475,0.0,2.4038395199263944,0.0005778444437559958,1.097317808088928
337,0,2.497203903894627,0.06539443438234242,0.0,3.714711073349358,0.0013799078358464343,1.1640921503071169
338,0,2.329860807773185,0.0610122102869914,0.0,3.7155042594685805,0.0013804971902129164,1.2264848577843213
339,0,2.6454921341040274,0.06927766751559943,0.0,1.9322437393507037,0.000373356586825999,1.2961358818867468
340,0,2.642893735396977,0.0692096230865953,0.0,6.363131428290497,0.004048944157369827,1.369394449130712
