frame,selected_candidate,selection_chamfer_cm,normalized_data_cost,rotation_change_deg,translation_change_cm,transition_cost,cumulative_objective
29,21,2.6819814578678467,0.019917978530852944,0.0,0.0,0.0,0.019917978530852944
30,21,2.4957661312094603,0.01853503351920243,0.8523226686926556,1.2663479346479425,0.00016843541950945954,0.038621447469564835
31,21,2.2982638695391575,0.017068265061052326,1.034894169437665,1.2922830607712754,0.00017889961693714947,0.055868612147554314
32,21,2.3376545669547837,0.01736080364782671,3.0275909890797292,4.261861087928071,0.00191819385102573,0.07514760964640675
33,21,2.5191021473938995,0.01870834055978384,2.65540956157299,1.4774195775773915,0.0002966235268174875,0.09415257373300809
34,21,2.806654976551462,0.020843877724235252,1.2560199957912503,0.8772584531499683,9.448697524927919e-05,0.11509093843249261
35,21,2.716855419708918,0.020176973171251562,0.7930283227743009,7.168304720742529,0.0051454469671722075,0.14041335857091639
36,21,2.5027831327164964,0.01858714591727964,2.4609045906405718,3.69301652071904,0.001431126562277441,0.16043163105047348
37,21,2.6660084093130356,0.019799353237134498,3.3772216983040293,1.2853995338494206,0.00029195437837864805,0.18052293866598662
38,21,2.432526388436356,0.01806537783416547,2.0425436913473445,1.9073742349141602,0.0004101630331021359,0.19899847953325422
39,21,2.552217266373165,0.01895427299415646,1.9707797827158517,1.1820088789290357,0.00018286975400850245,0.2181356222814192
40,21,2.2894635970344854,0.017002909039182935,0.7767432993802286,1.7569490550677298,0.0003153906665784731,0.2354539219871806
41,21,2.436267064834072,0.01809315830668216,2.699933718251418,0.669351943184421,0.00012579922552837525,0.25367287951939116
42,21,2.8582897890024257,0.021227348341761643,1.9314865657134592,7.294651237414464,0.0053626452270349205,0.2802628730881877
43,21,3.004543753863537,0.022313516675852813,1.4871196113949845,1.1868915721940685,0.0001654436575100371,0.30274183342155053
44,21,3.0305816573198565,0.022506889527298138,0.36138000107326174,2.6978104198069586,0.0007292691672905188,0.3259779921161392
45,21,2.627370453740483,0.019512404955925287,1.8697418726955957,1.3637674362299266,0.00022482988057335058,0.34571522695263784
46,21,2.69308242033695,0.02000042083539713,1.0018285823404938,2.0574887896710816,0.0004344777953888213,0.3661501255834238
47,21,2.6561359847894974,0.019726034781061493,3.165975335790197,1.5316669444763817,0.0003459714720671821,0.38622213183655246
48,21,2.163811611988764,0.016069743176623474,3.027942834422258,4.587757226453397,0.002206623168093415,0.4044984981812694
49,21,2.4254478052604798,0.01801280809423966,1.9471525453708138,1.6428322362485985,0.0003120164760340242,0.42282332275154305
