frame,candidate,selection_chamfer_cm,normalized_data_cost,icp_fitness,icp_inlier_rmse_cm,selected_independently,selected_by_temporal_path
29,0,5.432607000221716,0.040345748580603864,0.9106,4.873435151825109,False,False
29,1,6.721155532991119,0.04991527112013205,0.877,5.04542462568138,False,False
29,2,6.784838410361663,0.05038821778444562,0.8448,5.024595549557951,False,False
29,3,6.696507987005132,0.04973222388453431,0.8616,4.946299750431649,False,False
29,4,5.748820660189828,0.042694138004375055,0.899,4.341472534934994,False,False
29,5,5.109871890001923,0.03794892701509584,0.9448,4.375757082126379,False,False
29,6,6.953539778667342,0.05164109379601557,0.837,4.9454782349307544,False,False
29,7,7.90981117587084,0.058742930053418414,0.7594,4.628706864983871,False,False
29,8,6.64317008364209,0.04933610510789282,0.8884,5.063526006600433,False,False
29,9,7.164931563043971,0.05321101405421142,0.8692,4.8837798046183245,False,False
29,10,6.452377718159168,0.04791916830231154,0.9062,4.888103811498961,False,False
29,11,6.9553234944695355,0.051654340723189134,0.7864,4.547055419551872,False,False
29,12,7.660432527182319,0.05689089690230935,0.8388,4.873262236404893,False,False
29,13,8.333450449587803,0.06188912554032859,0.8358,4.841693150245724,False,False
29,14,6.883500392907667,0.051120939945666286,0.8296,4.940082733838233,False,False
29,15,7.394547187067502,0.05491627531029966,0.8032,4.100628831772002,False,False
29,16,6.765632498841123,0.0502455833407177,0.8852,4.6867228124427855,False,False
29,17,6.348635329112043,0.047148716041458566,0.8928,4.9899090973512,False,False
29,18,7.334252183157316,0.054468488995492136,0.8154,4.712517335126697,False,False
29,19,7.3806853146785905,0.05481332885784385,0.8148,5.199690588760126,False,False
29,20,5.312308597197883,0.03945234158045648,0.9298,4.4357827736149575,False,False
29,21,2.6819814578678467,0.019917978530852944,1.0,3.0228204567912393,True,True
29,22,4.737605714390621,0.03518425850039129,0.9404,3.6539820300996153,False,False
29,23,6.62188291131689,0.04917801399204559,0.8734,5.050644748868264,False,False
30,0,5.46317895816419,0.04057279399889264,0.9004,5.036759044176569,False,False
30,1,7.123592541244748,0.05290400605970502,0.8168,4.791165256291478,False,False
30,2,6.904969955409575,0.05128038559870215,0.841,5.196977202739487,False,False
30,3,6.799424684251218,0.050496544070343305,0.849,4.983130809896365,False,False
30,4,5.7861798227206,0.042971589213083305,0.888,4.48885512071522,False,False
30,5,5.040161923796595,0.0374312196289426,0.9486,4.364183814512303,False,False
30,6,7.154677382203589,0.05313486045022917,0.825,5.070472206622333,False,False
30,7,5.7385786350278964,0.042618074675641236,0.8926,4.474651196083398,False,False
30,8,6.69901508684745,0.049750843088886935,0.8918,5.219191598407574,False,False
30,9,7.259050971885869,0.05391000037984391,0.8656,4.984935753179173,False,False
30,10,6.589332002246179,0.04893627171372813,0.8968,5.016090997197358,False,False
30,11,8.730721351133914,0.06483949391991414,0.7628,4.956177847378683,False,False
30,12,7.733202248147,0.0574313278346779,0.8396,5.026605065144416,False,False
30,13,8.555523810629564,0.06353837349636056,0.8254,4.92337886514131,False,False
30,14,6.957342845387764,0.05166933761592213,0.8264,5.0194043916225155,False,False
30,15,7.679540750777375,0.05703280585779916,0.7936,4.075137153795202,False,False
30,16,6.9264177971651995,0.05143966994064584,0.8804,4.801308810646536,False,False
30,17,6.552060834694995,0.04865947400771622,0.8718,5.231747707998789,False,False
30,18,7.974405852404279,0.05922264827690802,0.7716,5.196483442371556,False,False
30,19,7.679567434313715,0.05703300402550177,0.796,5.309471298093885,False,False
30,20,5.156554389287931,0.03829561882976799,0.932,4.41223652311083,False,False
30,21,2.4957661312094603,0.01853503351920243,1.0,2.8581147611774247,True,True
30,22,4.526327250264568,0.03361517982531357,0.9404,3.6526210077906263,False,False
30,23,6.6514557173192035,0.04939763911783577,0.8644,4.983211749294403,False,False
31,0,5.401304503505859,0.040113277749860614,0.8936,4.92157642213075,False,False
31,1,7.077983048661745,0.052565283026625755,0.8024,4.750693681539634,False,False
31,2,6.842539513593144,0.05081674026061697,0.8408,4.984215463582264,False,False
31,3,6.657476173588313,0.04944235058232494,0.8442,4.889211517384215,False,False
31,4,5.672357578440945,0.04212627799318472,0.885,4.3239498810937524,False,False
31,5,4.861523134927591,0.03610454246231556,0.9386,4.2429258378496355,False,False
31,6,6.969110570118723,0.05175673169087392,0.819,4.972322572403223,False,False
31,7,5.737409977694334,0.04260939553596578,0.8624,4.342603663420194,False,False
31,8,6.6105335654812665,0.04909372704590358,0.8556,5.102215343865294,False,False
31,9,7.279913735475615,0.054064939585726855,0.851,4.980791030140381,False,False
31,10,6.583184966205711,0.04889062019308721,0.8896,4.997766764775684,False,False
31,11,6.731867833627243,0.04999482699232514,0.7662,4.242513235346196,False,False
31,12,7.866118797784768,0.05841844464501737,0.8266,4.996974861327816,False,False
31,13,7.975668475585563,0.05923202526247352,0.82,4.801692362346683,False,False
31,14,6.765231177424329,0.05024260289081927,0.8172,4.920037662832077,False,False
31,15,7.560521950906553,0.05614890194651726,0.7808,3.9157463045441645,False,False
31,16,6.552444659810086,0.04866232451974327,0.8678,4.728307752069068,False,False
31,17,6.603533058270406,0.04904173714421282,0.8338,5.156265271771099,False,False
31,18,7.40321398252777,0.0549806400527935,0.7574,5.02131387493945,False,False
31,19,7.5231408244843205,0.05587128762097712,0.7762,5.182850308860429,False,False
31,20,5.122485633000866,0.03804260412144182,0.9198,4.3653088691773885,False,False
31,21,2.2982638695391575,0.017068265061052326,1.0,2.592266077797666,True,True
31,22,4.535015997170682,0.03367970759221079,0.9372,3.6314350656717362,False,False
31,23,6.443892292484479,0.04785615051897908,0.8618,4.939238343232928,False,False
32,0,5.786600967996406,0.04297471688666855,0.8888,4.9723730629818315,False,False
32,1,7.410278689661881,0.0550331067410367,0.7956,5.07636315728469,False,False
32,2,7.071393198129264,0.0525163429040002,0.831,4.940556768093823,False,False
32,3,6.878153059820594,0.05108122749153533,0.8374,4.904213558213518,False,False
32,4,5.7342710302904925,0.04258608385839404,0.8824,4.331879078163798,False,False
32,5,4.901224477332233,0.03639938808227386,0.9378,4.3083265163841675,False,False
32,6,7.193606662518653,0.05342397228105945,0.8206,5.021333791929013,False,False
32,7,5.7688467238664245,0.042842863382471084,0.8518,4.291356599068888,False,False
32,8,6.673652117112608,0.04956248269393519,0.866,5.149580877133608,False,False
32,9,7.453242054163221,0.05535217806393511,0.8488,4.951135706668264,False,False
32,10,6.687863177153133,0.0496680224201542,0.8814,5.007185510194621,False,False
32,11,7.559183473087561,0.05613896161960542,0.7512,4.981939546519085,False,False
32,12,8.008155439026893,0.05947329264277505,0.8188,5.029908657129086,False,False
32,13,7.976986119417632,0.05924181086389201,0.8206,4.740840182925276,False,False
32,14,6.98144119454008,0.05184830619142691,0.8044,4.889380588396172,False,False
32,15,7.752660362273955,0.057575835283935096,0.7936,4.014059714374994,False,False
32,16,6.53407958384529,0.04852593461752706,0.8666,4.678443243857354,False,False
32,17,6.265780017166818,0.046533383552991595,0.8826,5.013861366746648,False,False
32,18,8.15576692258682,0.06056954271259892,0.7576,4.972593426577756,False,False
32,19,7.731165170747268,0.057416199294622355,0.769,5.168091900831443,False,False
32,20,5.053802894028675,0.03753252553149667,0.9196,4.319091800689597,False,False
32,21,2.3376545669547837,0.01736080364782671,1.0,2.589465475800354,True,True
32,22,4.522648362433598,0.033587858231191536,0.939,3.573149611918137,False,False
32,23,6.6631965362118795,0.04948483337413942,0.8528,4.949940625385921,False,False
33,0,5.492931124552031,0.04079375116085247,0.9036,4.987588407182606,False,False
33,1,7.373117450709099,0.054757125429730456,0.7922,4.6994785845110565,False,False
33,2,7.030718804710108,0.052214270832434774,0.835,5.030716635299131,False,False
33,3,6.793635310411758,0.05045354876047524,0.8514,4.921643649854287,False,False
33,4,5.794559055139047,0.04303381834256742,0.8906,4.404455200032873,False,False
33,5,4.962461418463995,0.036854169779283505,0.9428,4.316946387645961,False,False
33,6,7.008038503966869,0.05204583352204552,0.835,4.971919976253631,False,False
33,7,7.790238698894026,0.05785491420889483,0.7736,5.207313780815581,False,False
33,8,6.72976829109556,0.04997923454930209,0.8808,5.125729491344927,False,False
33,9,7.351932558575166,0.05459979390699966,0.859,4.935703309133334,False,False
33,10,6.568520903706787,0.048781716203027244,0.9032,4.89673881381674,False,False
33,11,8.795457178893768,0.06532026041578799,0.7704,4.954189270684704,False,False
33,12,7.8286595727824775,0.058140250313289524,0.8332,4.95864865076265,False,False
33,13,8.563185924692908,0.06359527688134367,0.821,4.816039733778309,False,False
33,14,6.785107105781315,0.050390213275348164,0.8262,4.890961115909586,False,False
33,15,7.612233159994244,0.05653293993059487,0.7986,4.062089957955259,False,False
33,16,6.970718234282416,0.05176867115458772,0.8796,4.723360919723106,False,False
33,17,6.238839146658426,0.046333304734842255,0.895,5.0492672023336125,False,False
33,18,6.3554196293108225,0.04719910026216589,0.852,4.442201867644877,False,False
33,19,7.384265264200415,0.054839915677640114,0.789,5.120884076005682,False,False
33,20,5.202553278214085,0.03863723375010476,0.9302,4.368736634418037,False,False
33,21,2.5191021473938995,0.01870834055978384,1.0,2.832207303069017,True,True
33,22,4.612366665707432,0.03425415934717816,0.9426,3.6611904447726844,False,False
33,23,6.573967104610063,0.04882216290796174,0.8716,4.971278499892867,False,False
34,0,5.580734917196359,0.041445833990018464,0.9052,5.032368554392447,False,False
34,1,7.2957383087930605,0.0541824622146295,0.8074,4.7142233848171795,False,False
34,2,6.986354809149765,0.05188479759595079,0.8452,5.109982660568984,False,False
34,3,6.8062626378283975,0.05054732675273124,0.8514,4.961909313569585,False,False
34,4,5.738461477986588,0.04261720459824876,0.8966,4.42274860714725,False,False
34,5,5.122497448596559,0.03804269187103482,0.9422,4.399526724617429,False,False
34,6,7.043337092154292,0.052307981688515484,0.8424,4.941885292494597,False,False
34,7,7.216310058520753,0.053592581110483185,0.8136,4.610180555826252,False,False
34,8,6.732697758420166,0.050000990504067234,0.8496,5.100248267681982,False,False
34,9,7.398302468872406,0.05494416425119743,0.8656,4.954583632096428,False,False
34,10,6.61426515630579,0.04912144004358698,0.9172,4.944900008753821,False,False
34,11,8.825091620761722,0.06554034328592422,0.812,5.087739378699566,False,False
34,12,7.783910740974215,0.057807919055508826,0.842,4.957158423243248,False,False
34,13,8.63295573175256,0.06411342868102861,0.829,4.838744048593229,False,False
34,14,6.862507224256098,0.05096503227476504,0.8376,4.910310073295949,False,False
34,15,7.63192995289438,0.05667921994940732,0.8106,4.106398771486399,False,False
