frame,rotation_correction_deg,translation_correction_cm
275,0.0,2.0937177223668866
276,0.0,4.450367659961656
277,0.0,1.009776374375531
278,0.0,0.5898873334926921
279,0.0,1.8116031113739015
280,0.0,3.453157801427182
281,0.0,3.369449057317084
282,0.0,2.9950788030478748
283,0.0,7.94438093642851
284,0.0,30.022304917846732
285,0.0,44.945556054527614
286,0.0,30.390715268551983
287,0.0,7.890755465874181
288,0.0,0.890522970301633
289,0.0,1.164760704198493
290,0.0,2.8855417721443737
291,0.0,5.535774784879589
292,0.0,5.136647342340489
293,0.0,2.7550999437373473
294,0.0,1.7479677930414408
295,0.0,1.1698940920584064
