outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.04482003612146057,3.593691154897169e-07,6,2,True,7949,0,0,1.0,`ftol` termination condition is satisfied.
2,0.04463885744283669,7.146539614386855e-07,5,2,True,7949,0,0,1.0,`ftol` termination condition is satisfied.
