frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
275,1,0,4.191093001305588,1.0,2.3191353328209274
276,1,0,9.877406404391788,1.0,2.886518351649715
277,1,0,3.2534461733268203,1.0,2.814535838536716
278,1,0,4.237402285969052,1.0,2.4236185193265203
279,1,0,2.1793394269122466,1.0,2.168638269858879
280,1,0,2.0096563020354425,1.0,2.033405423549594
281,1,0,2.75528197993984,1.0,2.793853309556464
282,1,0,2.434779727974588,1.0,2.541984153240255
283,1,0,2.6845232463318,1.0,2.773836142235573
284,1,0,2.3879830415481678,1.0,2.495903278195773
285,1,0,38.3803339038092,0.0,inf
286,1,0,2.104598028278458,1.0,2.244375917901334
287,1,0,2.4130519036811884,1.0,2.5481738251139836
288,1,0,2.390373196080578,1.0,2.4851989828683085
289,1,0,2.4614741700239513,1.0,2.5612934616227263
290,1,0,2.364610321199044,1.0,2.4418386530585408
291,1,0,2.4151919361364764,1.0,2.458151536643683
292,1,0,2.625124857511405,1.0,2.6906376330499113
293,1,0,2.425080364286545,1.0,2.5145591561409883
294,1,0,1.9839831093064766,1.0,2.0715171305464652
295,1,0,2.3779339517956606,1.0,2.447160078518481
