outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.038989907212723995,7.210516429166076e-07,5,2,True,8145,0,5010,1.0,`ftol` termination condition is satisfied.
2,0.026822605766539054,4.7461206962651965e-07,5,2,True,8145,0,4998,1.0,`ftol` termination condition is satisfied.
