frame,rotation_correction_deg,translation_correction_cm
5,0.0,1.0300927614087245
6,0.0,2.5282147289502315
7,0.0,2.1362346889225257
8,0.0,2.1050797287432275
9,0.0,2.81950302554728
10,0.0,5.326812986901962
11,0.0,4.993784184718084
12,0.0,2.732313645093074
13,0.0,2.3360685317818493
14,0.0,2.5473562917488812
15,0.0,1.4443184997596175
16,0.0,1.2586758468163735
17,0.0,1.6982862403879064
18,0.0,0.3051232258977292
19,0.0,2.464939416896096
20,0.0,2.9940769515236476
21,0.0,0.49528537673154394
22,0.0,2.6093251314681023
23,0.0,2.9971165804857174
24,0.0,0.8057741219953676
25,0.0,0.1696158387671151
