frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
252,0,forward,sequential,True,0.03521436387129637,0.005899748038981246,2.2937491874882565,1.0,2.2141386200346598,,open3d_or_translation_icp,,
253,1,forward,sequential,False,4.2033432143573135,5.555576866340244,1.9130502624584242,1.0,1.6897938624388291,,open3d_or_translation_icp,,
254,2,forward,sequential,False,1.548424891677195,2.374254744217507,2.0055225526885803,1.0,1.8386451925895073,,open3d_or_translation_icp,,
255,3,forward,sequential,False,5.082627854479826,5.675665850998328,3.033415730134784,0.9928,2.9079942503561558,,open3d_or_translation_icp,,
256,4,forward,sequential,False,5.73635071192899,10.434197062703706,3.719550394927701,1.0,2.5802104197303706,,open3d_or_translation_icp,,
257,5,forward,sequential,False,4.21504715811916,0.42975460963738216,3.81992138983979,1.0,2.8312151705291413,,open3d_or_translation_icp,,
258,6,forward,sequential,False,22.271447003285918,10.130087731705292,3.9719329991891428,1.0,2.894090952008433,,open3d_or_translation_icp,,
259,7,forward,sequential,False,5.3805426547907285,4.807672491961899,3.72222322685436,1.0,2.473133850001026,,open3d_or_translation_icp,,
260,8,forward,sequential,False,0.0,0.0,37.582756090701785,0.0,0.0,,open3d_or_translation_icp,,
261,9,forward,sequential,False,3.3028988143315794,4.546084073669985,3.745949626315112,1.0,2.7900980571229668,,open3d_or_translation_icp,,
262,10,forward,sequential,False,3.6522766839277208,2.044363155008008,3.119005039645031,1.0,2.761394520127102,,open3d_or_translation_icp,,
263,11,forward,sequential,False,6.996451293705285,3.6232841844344326,3.216310640967115,1.0,2.923947454015032,,open3d_or_translation_icp,,
264,12,forward,sequential,False,2.7900616524171222,10.29453651849038,3.2346308994305786,1.0,2.9799033670239803,,open3d_or_translation_icp,,
265,13,forward,sequential,False,3.1122218813828257,1.7985965840756752,3.7239483863274874,0.998,2.70210224966286,,open3d_or_translation_icp,,
266,14,forward,sequential,False,3.8524095687220505,10.110430162651772,3.253302434268378,0.9998,2.5687218068272415,,open3d_or_translation_icp,,
267,15,forward,sequential,False,1.7541027622655834,4.8070553099972075,3.921051960953762,0.9968,2.485180000073732,,open3d_or_translation_icp,,
268,16,forward,sequential,False,5.6782427040490315,7.323195875752033,2.462956584984498,1.0,2.458695742482464,,open3d_or_translation_icp,,
269,17,forward,sequential,False,5.3269138764448005,6.09831774565484,2.54750529877159,0.9994,2.5061966433215797,,open3d_or_translation_icp,,
270,18,forward,sequential,False,6.147698487073768,4.927536570852138,2.0568241236813662,1.0,2.087423336563589,,open3d_or_translation_icp,,
271,19,forward,sequential,False,0.8953397418674117,3.8441334088008183,1.7885150994181909,1.0,1.8614119652183851,,open3d_or_translation_icp,,
272,20,forward,sequential,False,2.401125765562662,6.291405481353693,1.6451510319728562,1.0,1.6301564680066691,,open3d_or_translation_icp,,
