frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
252,1,0,2.8974750930706907,0.9658,2.398638225032587
253,1,0,2.626768457795979,0.969,1.8700847774352054
254,1,0,2.6300966180828276,0.9692,1.9568014780642877
255,1,0,3.244835512763533,0.9752,2.852616676313702
256,1,0,3.515239151143359,0.9782,2.768413549477147
257,1,0,3.7250098184785148,0.977,3.067457457039029
258,1,0,3.7872680424415486,0.9796,2.9191622440181337
259,1,0,3.644873835649805,0.98,2.6729971516197466
260,1,0,5.790287775439326,0.9598,3.7586116697659233
261,1,0,3.547529090693831,0.9772,2.5720884905081247
262,1,0,3.329920935752683,0.9748,2.6325542150453742
263,1,0,3.4735364790042578,0.975,2.850756429824089
264,1,0,3.6463882492923148,0.9772,2.9501963319074798
265,1,0,3.6094659059243397,0.9776,2.7818442681636006
266,1,0,3.3691513485813367,0.9782,2.7193753474282345
267,1,0,3.4800772803601534,0.9786,2.631606098328704
268,1,0,2.8887029073297823,0.9692,2.3030197680226268
269,1,0,2.836493313079381,0.9716,2.437177411243343
270,1,0,2.729381877681747,0.9666,2.1271331013796413
271,1,0,2.368672802991233,0.9666,1.8614413852440705
272,1,0,2.25878346198528,0.9714,1.757659448581878
