frame,candidate,selection_chamfer_cm,normalized_data_cost,icp_fitness,icp_inlier_rmse_cm,selected_independently,selected_by_temporal_path
5,0,4.956722038255403,0.1298019891674337,1.0,1.208499653561714,True,True
6,0,1.5831973918266775,0.041459288844069506,1.0,0.8545015593146623,True,True
7,0,1.3760768462477337,0.03603541019884826,1.0,1.1364084001354322,True,True
8,0,1.2856017997831033,0.033666134514134166,1.0,1.0262695205743566,True,True
9,0,2.411846451081003,0.06315917344175247,1.0,0.7353513764587915,True,True
10,0,1.4654157977181994,0.03837493489309172,1.0,0.7249473761956957,True,True
11,0,1.9936313689114096,0.0522073490008279,1.0,0.9309890639694063,True,True
12,0,1.1692299455165294,0.030618697508322044,1.0,0.6736945942450733,True,True
13,0,2.690699322768576,0.07046151098473838,1.0,0.6061571388500668,True,True
14,0,1.3588874475728876,0.0355852703436442,1.0,0.9616127733883036,True,True
15,0,1.24551163280513,0.0326162908110511,1.0,1.2907355619191807,True,True
16,0,0.9417936070982519,0.02466280792891753,1.0,0.6818860756794419,True,True
17,0,0.8800074781011521,0.02304481071525857,1.0,0.6655016476450689,True,True
18,0,0.7244239671291597,0.018970535609663615,1.0,0.6134582011828139,True,True
19,0,1.2740068883997824,0.03336249784656245,1.0,0.6746796704279536,True,True
20,0,1.819531527980664,0.04764818560773627,1.0,1.0670715508280366,True,True
21,0,1.6960152181727937,0.04441365629906325,1.0,0.6257743884787831,True,True
22,0,0.6094198975436689,0.015958916866603994,1.0,0.6627736355521663,True,True
23,0,3.0510155233018095,0.07989713380108801,1.0,0.6579416786968146,True,True
24,0,0.8499097890077215,0.022256640653770657,1.0,0.6271286877535219,True,True
25,0,2.4586569308727433,0.06438500239563676,1.0,0.5477542008852597,True,True
