frame,selected_candidate,selection_chamfer_cm,normalized_data_cost,rotation_change_deg,translation_change_cm,transition_cost,cumulative_objective
5,0,4.956722038255403,0.1298019891674337,0.0,0.0,0.0,0.1298019891674337
6,0,1.5831973918266775,0.041459288844069506,0.0,4.363300172047657,0.0019038388391391114,0.17316511685064234
7,0,1.3760768462477337,0.03603541019884826,0.0,2.966651678953215,0.0008801022184235929,0.2100806292679142
8,0,1.2856017997831033,0.033666134514134166,0.0,4.688043198024549,0.0021977749026544234,0.24594453868470278
9,0,2.411846451081003,0.06315917344175247,0.0,6.370455062874352,0.004058269770810145,0.3131619818972654
10,0,1.4654157977181994,0.03837493489309172,0.0,8.594846366513199,0.007387138406396514,0.35892405519675363
11,0,1.9936313689114096,0.0522073490008279,0.0,12.233258307088235,0.014965260880794331,0.42609666507837585
12,0,1.1692299455165294,0.030618697508322044,0.0,3.9669387831286302,0.0015736603309090059,0.45828902291760687
13,0,2.690699322768576,0.07046151098473838,0.0,3.7687895414541526,0.00142037746077742,0.5301709113631227
14,0,1.3588874475728876,0.0355852703436442,0.0,3.3609188503680776,0.001129577551875948,0.5668857592586428
15,0,1.24551163280513,0.0326162908110511,0.0,7.812176708542615,0.006103010492549571,0.6056050605622435
16,0,0.9417936070982519,0.02466280792891753,0.0,1.2940160348039054,0.0001674477498329622,0.630435316240994
17,0,0.8800074781011521,0.02304481071525857,0.0,5.978852052545278,0.003574667186622489,0.657054794142875
18,0,0.7244239671291597,0.018970535609663615,0.0,0.7953168439884368,6.325288823317276e-05,0.6760885826407719
19,0,1.2740068883997824,0.03336249784656245,0.0,1.30065743298891,0.0001691709757989301,0.7096202514631332
20,0,1.819531527980664,0.04764818560773627,0.0,6.90017772287967,0.004761245260732487,0.762029682331602
21,0,1.6960152181727937,0.04441365629906325,0.0,4.978474166201339,0.002478520502353412,0.8089218591330186
22,0,0.6094198975436689,0.015958916866603994,0.0,1.9997631235319013,0.0003999052550238066,0.8252806812546464
23,0,3.0510155233018095,0.07989713380108801,0.0,10.927300097676936,0.011940588742469036,0.9171184037982034
24,0,0.8499097890077215,0.022256640653770657,0.0,3.2265264276417667,0.001041047278827074,0.9404160917308011
25,0,2.4586569308727433,0.06438500239563676,0.0,9.920151116182273,0.009840939816789239,1.0146420339432272
