outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.007319219365600205,3.5047229863509154e-08,5,2,True,8145,0,0,1.0,`ftol` termination condition is satisfied.
2,0.007193132604675467,5.0908013893883924e-08,5,2,True,8145,0,0,1.0,`ftol` termination condition is satisfied.
