outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.13713578353016165,5.8602254365367e-07,5,2,True,8179,0,0,1.0,`ftol` termination condition is satisfied.
2,0.11102239708194439,5.976606074583009e-07,5,2,True,8258,0,0,1.0,`ftol` termination condition is satisfied.
