frame,rotation_correction_deg,translation_correction_cm
5,0.0,1.9719332901822249
6,0.0,1.2242277002858448
7,0.0,3.796372653130131
8,0.0,3.6655720141216874
9,0.0,2.3388109546939533
10,0.0,9.90839828109006
11,0.0,3.0428027728833107
12,0.0,1.4439091438796352
13,0.0,3.0260043111469535
14,0.0,2.328172182329233
15,0.0,4.832341061438043
16,0.0,4.198973634620022
17,0.0,2.6241058206832704
18,0.0,1.587694984336513
19,0.0,0.963327530709056
20,0.0,4.226357048284154
21,0.0,3.0462233933589395
22,0.0,7.7538628233583164
23,0.0,0.14939943369156228
24,0.0,0.731617375205395
25,0.0,4.912853275415028
