outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.06207240621325094,1.105317573140129e-06,5,2,True,8376,0,0,1.0,`ftol` termination condition is satisfied.
2,0.05262223557160661,9.088143213575331e-07,6,2,True,8376,0,0,1.0,`ftol` termination condition is satisfied.
