frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
320,1,0,1.9404849230424503,1.0,1.932618234186248
321,1,0,2.0467798700935416,1.0,1.9962716678140349
322,1,0,2.3893226123889244,1.0,2.3584023524757582
323,1,0,2.615448439902269,1.0,2.6001577236104705
324,1,0,2.4582044339910847,1.0,2.166627533606218
325,1,0,2.9659340998021424,1.0,2.8890153635536207
326,1,0,2.7103464097836802,1.0,2.611478624454604
327,1,0,2.0609373872783174,1.0,2.0436094094729773
328,1,0,3.480913318186192,1.0,2.702729095692748
329,1,0,3.2713438952595237,1.0,1.9302755507851175
330,1,0,2.894780580528882,1.0,2.765635978527525
331,1,0,2.7708289317770474,1.0,2.5882316180264726
332,1,0,2.0422720557128673,1.0,2.010455907162606
333,1,0,2.0372891578916676,1.0,2.018972859098251
334,1,0,1.5905862969117315,1.0,1.589039985148392
335,1,0,1.9457535798608154,1.0,1.9424962850054597
336,1,0,1.720901004857047,1.0,1.7313206610541583
337,1,0,2.497203903894627,1.0,2.352812241040059
338,1,0,2.329860807773185,1.0,2.1038086744441302
339,1,0,2.6454921341040274,1.0,2.4920144216637032
340,1,0,2.642893735396977,1.0,2.4343215488578456
