frame,rotation_correction_deg,translation_correction_cm
0,1.9416790828762016,0.6034930701947672
1,1.893945232092097,1.619593007320004
2,1.9895758068107199,1.249958196641248
3,1.3190540767597374,0.6347430601265058
4,1.2341696039878696,0.4883198993965411
5,0.6236012155847572,1.419829620813339
6,3.97986351765808,2.4726539686896123
7,3.865674338763571,1.9300452242452606
8,0.7200234715034878,0.5482267729471094
9,2.038727670326881,1.213363300645228
10,0.4495741951228679,2.0988358905593705
11,4.156385708441096,3.707883280805065
12,7.219440346889625,3.960873965828895
13,1.317738474368338,2.9671533585379866
14,3.0237446056602097,3.029848219357328
15,4.617937322825536,2.9543287109140377
16,0.420402343322165,1.879459026838838
17,1.3697006392949025,1.4175726362792387
18,2.0585677333638737,1.3991378242961467
19,0.7258590429655641,0.9616880853309171
20,0.6676743971786835,0.46261363895151425
21,1.468217582766201,0.6537990117041261
22,2.252732482218315,0.8542419227241504
23,1.1511501565169424,1.0550814886639333
24,0.9780736547340458,1.008863804831029
25,0.2753218876433056,0.6775046800466206
26,0.6077410021981376,0.38581469043493216
27,0.6051228999950063,0.29884995910108875
28,0.6474886660654748,0.6300311072261776
29,2.1409966648853995,1.3836100206466457
30,3.4104304626758846,1.5520745017504816
31,1.1450626946412543,0.7960097753637466
32,0.5928558076289326,0.6056804402461391
33,1.1158566877750609,0.5574829820473859
34,1.0391812471723028,0.2805523855210838
35,0.901975322768735,0.45158231732234827
36,0.9628783481678194,0.616670424040781
37,0.2655979427993908,0.27438649065663817
38,1.6672732654964832,0.6726598180042853
39,1.3174300244479065,1.0833558208275462
40,0.5995928828869452,1.3418666809937705
41,0.559066897175318,0.9585655218691171
42,0.9022821306891198,0.41239532151867214
43,0.5228553084669069,0.6335696656412838
44,1.8349217961030213,1.0383278025190645
45,1.2899155998899219,0.8753490663499208
46,2.156597187383389,1.0024891025989784
47,0.5449316856206557,1.0574275788015202
48,0.37601541631245267,0.8483018211684068
49,1.5205533864621623,0.9536058401155879
50,1.2739161945969877,1.1544577326450325
51,1.5984368917640783,1.0438800541134552
52,0.30415689327050005,0.6659966109468616
53,2.617725979266683,0.8134895747842067
54,0.8703334282101431,0.5544903249011921
55,2.0621686303697357,0.7973160089045398
56,1.7432348359653222,0.9421778569321236
57,3.7721648469411693,1.3730675309608193
58,1.1467518757212434,1.2091987216930584
59,0.5694454135549005,0.8198240901845443
60,0.5034552414909298,0.5097571317643736
61,0.6229065116829333,0.8305035644335419
62,1.6248936016097535,1.2920856799084797
63,0.3549728386929965,1.3427255094807018
64,0.8645655449846624,1.5170276064511041
65,2.120568162450559,1.5642867523458381
66,1.148643589140766,0.5221417432234994
67,1.994070775884746,1.4252956061866673
68,1.4231132760185343,1.641255740976051
69,1.5850896839984765,1.3558068255740021
70,2.5296530809725533,1.0562911250184848
71,1.0062371467030085,0.5046209919988415
72,0.44356865170422866,0.47220528125428657
73,0.3615345253085985,0.6789832478089132
74,0.6314917772724706,1.0747124705363726
75,3.1626781065198073,1.6899465298848355
76,2.9499333182124743,1.5511533122964045
77,1.2854903208095618,1.4214040731233346
78,2.6975409145832088,2.0477443233923776
79,2.1552599715874345,2.2756756994702747
80,0.7169166348154162,2.0386726816432126
81,3.393894844096817,2.220777481374916
82,3.3502144531588036,2.5118267456360717
83,2.534314599992386,2.0278211909574404
84,1.650829264330564,1.1621705672659208
85,0.3400792722165535,0.7050133832966783
86,2.2071293378468946,0.9910048424345839
