outer_iteration,cost,optimality,function_evaluations,status,success,geometry_correspondences,frames_without_geometry,mask_correspondences,scale,message
1,0.09470104731567242,6.251055096248398e-07,4,2,True,8387,0,4959,1.0,`ftol` termination condition is satisfied.
2,0.09051386926604543,3.195052002157699e-07,5,2,True,8390,0,4962,1.0,`ftol` termination condition is satisfied.
