frame,rotation_correction_deg,translation_correction_cm
108,5.49469597591334,1.2360088458567635
109,7.7372280428117595,3.677088536161132
110,5.295373101305323,3.7107517592110173
111,6.625667876653398,3.166919283327353
112,4.9425923215188385,4.526082417963651
113,3.434111713086484,6.578546974413584
114,2.889295007461086,4.311894457568089
115,1.2412247517884134,2.006423042878854
116,2.34536832045525,6.406609987952935
117,2.4978190237758553,4.783973524297877
118,1.7414990876086902,1.570593985744588
119,2.197506979246177,5.63982354855632
120,0.5015441992548246,4.730419371577398
121,0.8583569475019449,0.9102584754297935
122,0.3931381609007595,3.5566331424304347
123,0.9525707006445125,6.401168417434722
124,1.909746110559817,5.064175320840807
125,1.763034220878915,0.6279796736697941
126,1.091000508692978,0.8701602732749293
127,1.6089745549104766,2.794918624328029
128,0.5627734870257115,1.5308854378081207
